CODE NO,ITEM NAME- CHOCO - MRD,RATE,BIZ,CODE NO,ITEM NAME – CHOCO- CFC,RATE,BIZ
700,ROASTED ALMOND,1200,,800,HAZELNUT,1500,
701,WHOLE CASHEW,1200,,802,CARAMEL,1500,
702,FRUIT & NUT,1000,,803,STRAWBERRY,1300,
703,NUT MILK,1000,,804,ORANGE,1300,
704,RUM & RAISIN,1000,,805,COFFEE,1300,
705,BUTTER SCOTCH,1000,,807,COCONUT,1300,
706,CRISPIES,950,,808,WHITE MOSAIC,1500,
707,PLAIN MILK,900,,809,ALMOND,1500,
708,WALNUT PRALINES,1200,,810,IRISH,1200,
709,DARK FANTASY,1000,,811,PEANUT,1200,
710,DARK STICK,900,,813,MILK TWIST,1500,
711,ALMOND DAZZLERS,1200,,814,BUTTER SCOTCH,1200,
712,CASHEW ROCKERS,1200,,818,RASPBERRY,1500,
713,SUGAR FREE,1800,,820,ASSORTED  CENTER FILLED  DELIGHT-250G,350,10
714,WHITE TOBBLER,1200,,821,CHOCO ALMOND NUTTIES-100G,140,5
715,MILKY MIST,1000,,822,CHOCO ALMOND NUTTIES-250G,350,20
716,STRAWBERRY SMASH,1000,,823,CHOCO HAZELNUT NUTTIES-100G,140,5
717,PINEAPPLE PUNCH,1000,,824,CHOCO HAZELNUT NUTTIES-250G,350,20
718,MANGO MELODY,1000,,825,CHOCO BUTTERSCOTCH NUTTIES-100G,140,5
719,PISTACHIO SWIRL,1000,,826,CHOCO BUTTERSCOTCH NUTTIES-250G,350,20
720,ORANGE BLOSSOM,1000,,827,TEDDY LOLIPOP,20,2
722,KRUSHERS CHOCO BOX – 250G,200,10,828,CHOCO LOLIPOP,30,3
723,KRUSHERS CHOCO BOX – 500G,400,20,830,CHOCO CASHEW NUTTIES-100G,140,5
726,FLAVOURED KRUSHERS – 250G,220,10,831,CHOCO CASHEW NUTTIES-250G,350,20
727,,,,832,CHOCO CRISPIES NUTTIES-100G,140,5
728,,,,833,CHOCO CRISPIES NUTTIES-250G,350,20
729,,,,834,ASSORTED NUTTY DELIGHT-250G,400,20
730,,,,835,CASHEW FUDGE,,
731,,,,836,ALMOND FUDGE,,
732,,,,837,CHOCOLATE FUDGE,,
733,,,,838,WALNUT FUDGE,,
734,,,,839,HAZELNUT FUDGE,,
735,,,,840,PISTACHIO FUDGE,,
736,,,,841,,,
737,,,,842,,,
738,,,,843,,,
739,,,,844,,,
740,,,,845,,,
741,,,,846,,,
742,,,,847,,,
743,,,,848,,,
744,,,,849,,,
745,,,,850,,,
