CODE NO,ITEM NAME,RATE,BIZ,CODE NO,ITEM NAME,RATE,BIZ
900,ORANGE – FRUIT JELLY,750,,950,VARKEY - BIG,120,
901,LITCHI – FRUIT JELLY,750,,951,VARKEY - SMALL,120,
902,BANANA – FRUIT JELLY,750,,952,,,
903,STRAWBERRY – FRUIT JELLY,750,,953,,,
904,GREEN APPLE – FRUIT JELLY,750,,954,,,
905,PINE APPLE – FRUIT JELLY,750,,955,,,
906,GAUVA – FRUIT JELLY,750,,956,,,
908,ASSORTED – FRUIT JELLY,750,,957,,,
909,FRUIT JELLY MIXED BOX – 200G,145,5,958,,,
910,FRUIT JELLY MIXED BOX – 400G,290,15,959,,,
911,,,,960,,,
912,,,,961,,,
913,,,,962,,,
914,,,,963,,,
915,,,,964,,,
916,,,,965,,,
917,,,,966,,,
918,,,,967,,,
919,,,,968,,,
920,,,,969,,,
921,,,,970,,,
922,,,,971,,,
923,,,,972,,,
924,,,,973,,,
925,,,,974,,,
926,,,,975,,,
927,,,,976,,,
928,,,,977,,,
929,,,,978,,,
930,,,,979,,,
931,,,,980,,,
932,,,,981,,,
933,,,,982,,,
934,,,,983,,,
935,,,,984,,,
936,,,,985,,,
937,,,,986,,,
938,,,,987,,,
939,,,,988,,,
940,,,,989,,,
941,,,,990,,,
942,,,,991,,,
943,,,,992,,,
