CODE NO,ITEMS,RATE,BIZ,CODE NO,ITEMS,RATE,BIZ
100,EUC-OIL - 30,80,,144,ALMOND SAFFRON-OIL – 100,190,10
101,EUC-OIL - 60,155,,145,ALMOND SAFFRON-OIL – 200,380,20
102,EUC-OIL - 100,260,4,146,ALMOND SAFFRON-OIL – 500,950,50
103,EUC-OIL - 200,510,8,147,,,
104,EUC-OIL - 500,1250,20,148,,,
105,EUC-OIL - 1 LTR,2400,50,149,,,
106,W.G-OIL – 60,130,,150,EUC-OIL – 10,60,4
107,W.G-OIL – 100,220,5,151,HEENA-OIL – 10,70,4
108,W.G-OIL – 200,440,10,152,W.G-OIL – 10,60,4
109,W.G-OIL –500,1050,25,153,L.G-OIL – 10,70,4
110,W.G-OIL –1LTR,2100,50,154,CAMPHOR-OIL – 10,50,4
111,L.G-OIL – 60,175,,155,,,
112,L.G-OIL – 100,290,5,156,,,
113,L.G-OIL – 200,580,12,157,,,
114,L.G-OIL – 500,1450,30,158,,,
115,CAMPHOR-OIL - 60,55,,159,,,
116,CAMPHOR-OIL – 100,85,8,160,,,
117,CAMPHOR-OIL – 200,160,15,,,,
118,CAMPHOR-OIL – 500,400,40,,,,
119,CLOVE-OIL -30,60,,,,,
120,CLOVE-OIL -60,120,6,,,,
121,CLOVE-OIL -100,200,10,,,,
122,CLOVE-OIL -200,400,20,,,,
123,CITRIDORA-OIL - 60,175,,,,,
124,CITRIDORA-OIL – 100,290,10,,,,
125,CITRIDORA-OIL – 200,580,20,,,,
126,CITRIDORA-OIL – 500,1450,50,,,,
127,JAVA CITRONELLA-OIL - 60,132,,,,,
128,JAVA CITRONELLA-OIL – 100,220,7,,,,
129,JAVA CITRONELLA-OIL – 200,440,14,,,,
130,JAVA CITRONELLA-OIL – 500,1100,30,,,,
131,HEENA-OIL - 60,200,,,,,
132,HEENA-OIL – 100,350,7,,,,
133,HEENA-OIL – 200,675,15,,,,
134,HEENA-OIL – 500,1650,35,,,,
135,ALMOND-OIL - 60,100,,,,,
136,ALMOND-OIL – 100,160,8,,,,
137,ALMOND-OIL – 200,320,16,,,,
138,ALMOND-OIL – 500,800,40,,,,
139,OLIVE-OIL – 60,65,,,,,
140,OLIVE-OIL – 100,95,5,,,,
141,OLIVE-OIL – 200,190,10,,,,
142,OLIVE-OIL – 500,460,25,,,,
143,ALMOND SAFFRON-OIL - 60,110,,,,,
